tanggal,Trading,Investing,IHSG
2023-03-09,5146862974.757135,2755141065.950466,1484675705.7121263
2023-03-10,5096215231.589637,2724867716.704619,1477144425.2418888
2023-03-13,5155841517.02823,2767487711.9043074,1481872238.210564
2023-03-14,4988488370.690833,2691216384.29124,1450181946.4790502
2023-03-15,4999122396.017485,2695025222.2831464,1447195746.1170652
2023-03-16,4944581562.450009,2684804571.5878425,1433569247.9711616
2023-03-17,5122355661.718865,2777166006.997267,1458134557.325245
2023-03-20,5071473529.172099,2732075443.305669,1443779366.5883322
2023-03-21,5057420366.463372,2731192277.206612,1461054658.2861435
2023-03-24,5099838099.997158,2752778049.76548,1476478953.5296607
2023-03-27,5071456001.867768,2741316965.111461,1464836823.3715339
2023-03-28,5159909441.953604,2792479054.195285,1476058476.0492013
2023-03-29,5222620702.959681,2846268971.0070868,1493330995.8366444
2023-03-30,5156699147.114168,2796101771.330997,1486674892.7591789
2023-03-31,5210438320.65737,2841135984.1615186,1485872637.9314766
2023-04-03,5243993012.7678175,2856419461.8202147,1490653863.480707
2023-04-04,5277889140.436459,2867696403.0996294,1491964657.2490256
2023-04-05,5249031053.755719,2853522458.9401474,1489016304.1247594
2023-04-06,5191800295.381959,2815668567.5520353,1483140813.651737
2023-04-10,5240430720.42439,2831533630.777461,1478439866.8912454
2023-04-11,5219509172.3011265,2847757629.68001,1487190787.9234645
2023-04-12,5284916621.360383,2875906131.764805,1484494252.19495
2023-04-13,5299141529.485823,2866072984.947821,1481575963.6369846
2023-04-14,5299705144.4597025,2856672596.2923613,1488776000.8182292
2023-04-17,5270076389.019172,2844728504.045119,1482009127.9379752
2023-04-18,5350091736.833165,2893234780.335528,1489481878.4546697
2023-04-26,5455958881.15061,2979795041.879995,1508770110.1394372
2023-04-27,5468033034.329858,2958294986.7128763,1516484123.4700973
2023-04-28,5638951269.274779,3071599832.915738,1509986019.2836158
2023-05-02,5489614402.0343,2985740409.3816032,1498541867.4929366
2023-05-03,5311495188.189341,2954377911.137001,1487498256.7504537
2023-05-04,5236500943.8661995,2927863133.2314873,1494333361.2705388
2023-05-05,5242563163.035587,2916434332.4044714,1482019789.1316988
2023-05-08,5273493403.012716,2918851422.8797884,1478089646.6774247
2023-05-09,5279831154.329753,2932053116.3466105,1480349286.6871452
2023-05-10,5279210742.678146,2933452293.6911526,1487319788.3675203
2023-05-11,5237663997.085134,2907653017.1841745,1475099928.1215107
2023-05-12,5233404529.697383,2896191607.5845985,1464581381.169916
2023-05-15,5251866148.402664,2900944489.235479,1465449735.3987045
