tanggal,Trading,Investing,IHSG
2023-02-06,1536486079.5640717,1282333782.104832,1043656226.7860559
2023-02-07,1569301149.8351555,1298963726.9518337,1052995330.8927648
2023-02-08,1598207794.2413158,1310723257.517176,1053727649.7443038
2023-02-09,1590177996.9274182,1309754229.028449,1047235529.6967973
2023-02-10,1570173237.7086787,1299271681.5344653,1044648912.4939023
2023-02-13,1541157653.0683403,1295619944.0446215,1047656846.5659302
2023-02-14,1611661162.1271467,1300753562.913959,1053990463.1001153
2023-02-15,1588779877.3999784,1292912066.9384916,1049842905.0773021
2023-02-16,1578004253.7720327,1268211157.7696264,1046977238.6582508
2023-02-17,1574758387.903255,1264099836.6428294,1046984800.5658087
2023-02-20,1560277741.1627586,1260222943.2404015,1046833414.1419533
2023-02-21,1566018404.2407339,1257392800.9535563,1043597584.9343079
2023-02-22,1524567029.5231078,1245439147.771141,1033965864.6596476
2023-02-23,1527285593.6171293,1245204822.7429998,1038442810.4793212
2023-02-24,1538882647.0660973,1243107458.3932614,1041042475.6795709
2023-02-27,1529496764.8612971,1249862165.7064226,1040769283.2349545
2023-02-28,1567600773.3201606,1248131863.231649,1039017441.3173734
2023-03-01,1571219580.2624905,1243764111.7759428,1039275139.265131
2023-03-02,1577353661.203054,1269333869.685619,1041169841.9264776
2023-03-03,1566445018.8249114,1247811877.0803788,1034522851.0467312
2023-03-06,1576391578.31328,1247627549.150893,1033515412.2055119
2023-03-07,1520095417.4734035,1228966383.75976,1027405242.6260282
2023-03-08,1525745869.8733282,1224725046.8972263,1028864690.7847037
2023-03-09,1547509195.033422,1242596483.2653317,1032421307.9727713
2023-03-10,1532280908.6464741,1228942902.4835389,1027184168.0344824
2023-03-13,1550208796.5281477,1248164945.3841746,1030471818.5498041
2023-03-14,1499890703.8206096,1213765826.446609,1008434863.0627506
2023-03-15,1503087980.1877165,1215483650.1236084,1006358303.9382712
2023-03-16,1486689188.3745658,1210874034.0876727,996882640.6774284
2023-03-17,1540140537.6764114,1252529906.2178981,1013964989.850734
2023-03-20,1524841957.9984853,1232193660.599919,1003982604.6471629
2023-03-21,1520616540.7324219,1231795358.7921994,1015995584.439077
2023-03-24,1533370308.114353,1241530754.4297264,1026721408.9464781
2023-03-27,1524836639.7749934,1236361695.920484,1018625645.5422556
2023-03-28,1551431990.0743906,1259436316.3870552,1026429015.1875725
2023-03-29,1570287340.2010767,1283696107.4933221,1038440067.4344227
2023-03-30,1550466632.0537126,1261070120.7454739,1033811512.781848
2023-03-31,1566624456.7863216,1281381007.5599246,1033253636.758581
2023-04-03,1576713291.1779265,1288274004.9729285,1036578429.5845548
2023-04-04,1586904875.808339,1293360020.0030048,1037489935.9906768
2023-04-05,1578228150.628124,1286967418.053032,1035439695.2699528
2023-04-06,1561020581.6456513,1269894998.3722587,1031353966.9618777
2023-04-10,1575642330.0238304,1277050286.510362,1028084998.8064048
