tanggal,Inv_No_Buffer,Inv_Buffer_8,Inv_Buffer_10,Hyb_No_Buffer,Hyb_Buffer_8,IHSG
2024-11-18,1282198673.9536936,1474764124.4305267,1364798572.5521824,1202531241.3872333,1129603817.5510898,1083206115.359124
2024-11-19,1287159574.6045434,1480470056.2845643,1366264334.2908335,1221215700.7160678,1147155008.1674888,1092534321.4225876
2024-11-20,1286315081.5299683,1479498760.2775052,1365351491.254659,1217139467.1693873,1143326010.4579139,1090199174.7141674
2024-11-21,1274017149.759264,1465354080.18078,1351459278.7253067,1207502096.1233957,1134273174.981528,1084213554.2003431
2024-11-22,1281293453.3911364,1473723012.6247485,1371506736.0292053,1206570607.8285816,1133398184.256268,1092511561.5635653
2024-11-25,1317035439.2266345,1514832212.4150064,1413704315.7579105,1248538001.9383311,1172820129.5601408,1110510087.732955
2024-11-26,1310091359.2007728,1506845440.806274,1402137484.9190903,1236201741.2807713,1161232100.252797,1100152201.92369
2024-11-28,1307946476.21918,1504378426.9706898,1403933132.066928,1232309396.2181284,1157575837.6370614,1093208813.9222133
2024-11-29,1285463288.4440584,1478519099.2168868,1380894427.9061756,1217394603.9253662,1143565672.4014912,1080167859.520516
2024-12-02,1276219087.5848522,1467886779.270797,1356090713.29376,1224917732.5967538,1150632500.6687372,1069952612.0459706
2024-12-03,1301494487.9638038,1499458059.9561617,1381144645.8743515,1217349302.0849266,1145454518.2825289,1092580211.8223753
2024-12-04,1314332630.0265489,1515026540.9711988,1402353806.230285,1242771542.5169566,1169966042.3458946,1112431701.888846
2024-12-05,1299377497.3925622,1506359463.0981133,1386130658.0686808,1223869149.3610134,1158839064.2445183,1110389393.757423
2024-12-06,1300502794.5932863,1510703470.216186,1390565956.5093093,1228338987.1966949,1165409693.2723947,1120937439.3008647
2024-12-09,1312760128.3985481,1537799115.0860705,1413533035.808308,1246508835.2221498,1192581663.2677495,1129279928.4732509
2024-12-10,1308510655.5802307,1527699540.9768286,1411455296.0311568,1249631474.5357466,1191468863.5580127,1131641838.4035182
2024-12-11,1314150453.0254204,1526439137.115746,1407050312.0534968,1254916121.0613096,1190412664.6252775,1133382559.8688085
2024-12-12,1294566071.3098648,1508219877.7654,1379213637.1949565,1229442032.1477175,1169825952.3329353,1122676307.3574395
2024-12-13,1295999384.1204422,1512125037.5292306,1375492570.9096692,1217112324.5574934,1159989742.4258373,1112131820.358731
2024-12-16,1283822541.0976794,1510182118.879985,1370538680.6316164,1204756665.0755668,1157756792.2072313,1102086938.2132845
2024-12-17,1244654042.1920323,1466470549.3710227,1322991832.9548984,1164154525.282459,1120655796.585138,1086767329.0008051
2024-12-18,1231655063.7744136,1448050319.3980908,1311832306.8870127,1158920798.3259692,1113047744.7894292,1079197488.8536
2024-12-19,1213177684.196768,1424213992.4665093,1289336487.1695926,1140585268.4333124,1093815711.491688,1059362679.465566
2024-12-20,1209675876.603973,1417039359.280214,1280777772.8556824,1132068510.4890091,1083367028.1946654,1060368932.1252075
2024-12-23,1230960270.0503612,1434672860.5937629,1300232561.3657966,1157154037.6077375,1101612933.8732405,1077462031.069061
2024-12-24,1233680254.4130294,1424145410.8655467,1294065649.2818139,1159008972.0419252,1092742990.6586199,1072801004.6957964
2024-12-27,1237828524.283187,1430792886.7411358,1296416518.9851444,1165187072.0497563,1100005694.7932062,1068371283.7301853
2024-12-30,1240470180.0551925,1438153160.407479,1302751434.5124109,1171018180.1307485,1108843592.697966,1074950736.3963509
2025-01-02,1234703997.7841196,1423736960.0139537,1310826934.2463903,1182084855.2325306,1113199638.5844526,1087598323.33234
2025-01-03,1251809265.0738766,1439839272.4486883,1309321731.9445128,1169776550.5982013,1108963395.8317215,1087784183.1582975
2025-01-06,1225248727.8500276,1416530335.3120165,1285977159.2751553,1145070947.0415545,1091341605.9324148,1075037179.3788264
2025-01-07,1218949646.713784,1403525230.790533,1280234921.309622,1140800266.7018046,1101650041.4686325,1075463834.0650592
2025-01-08,1223150788.6661835,1409321131.593981,1279248824.2120087,1137420150.80121,1087494464.9541848,1075018645.2916746
2025-01-09,1217372233.3994815,1407511021.0992954,1282535475.5210466,1126842139.216584,1080203232.0393522,1072625153.2769009
2025-01-10,1211596244.5381072,1404494509.3038127,1274668687.5881276,1137153608.1017063,1078075749.6627164,1076311360.8023334
2025-01-13,1193259033.5393052,1382923249.5145144,1258435655.7172146,1135108474.9658744,1070162091.8314103,1065381438.9272175
2025-01-14,1181262694.565542,1368911860.1467292,1240914178.2824,1137852436.8235931,1067833160.8140638,1056239092.6897113
2025-01-15,1228480790.6333923,1421185407.7153738,1286231683.0728328,1154728765.0721583,1097493552.7603705,1074898692.6796288
2025-01-16,1232460796.8042796,1429771018.3491633,1302218701.1633434,1141409779.9834847,1098122550.521717,1079143443.4554656
2025-01-17,1236649689.905652,1438495845.8663173,1303767478.9856296,1154987413.561666,1105831016.4432058,1086300640.6863248
