tanggal,Trading_Old,Trading_Optimal,Investing_Old,Investing_Optimal,Hybrid_Old,Hybrid_Optimal,IHSG
2022-09-19,1241971072.515979,1451682296.4525795,1395799165.4221795,1332099822.6316228,1266859391.9785898,1261926151.4684806,1092499848.0204854
2022-09-20,1255967421.8730755,1445732421.5016558,1424973761.8266125,1325264032.8682694,1293335786.2542572,1276198845.0087464,1092722034.6572604
2022-09-21,1258603152.0810761,1445638117.9494615,1424401392.4221594,1324821675.3539395,1292807485.7528782,1272812640.605148,1091410636.786753
2022-09-22,1265750509.4787707,1469799980.6010256,1426238638.7722208,1341109212.9100804,1294475680.4702494,1283165012.3614082,1096055427.2996726
2022-09-23,1256938477.4689538,1458832896.6117458,1421757248.6768916,1330361607.1074696,1290406639.1665294,1280674484.2033212,1089933173.4953659
2022-09-26,1236752046.4634504,1418744089.6894753,1407630698.8846166,1301162269.0126576,1277582002.2491956,1250394923.4724562,1082177621.7949004
2022-09-27,1234600309.5784974,1411597899.784719,1399129275.6574578,1288281233.4988601,1269861719.6424108,1233631983.6127565,1079891998.1673496
2022-09-28,1233882067.4136977,1393659386.547471,1400186120.7350338,1271784743.2448812,1270820298.128293,1225285522.6375136,1074514369.8484507
2022-09-29,1229839613.0808783,1402773485.8504546,1395009108.5119123,1280005818.7802212,1266115284.611867,1225837115.758298,1068314717.6961982
2022-09-30,1222749215.7615597,1398916141.7522717,1389999562.837862,1283657800.6534986,1261568796.9419422,1228333805.9302244,1069013082.1000752
2022-10-03,1212643377.735082,1403687895.662952,1379487524.395501,1285638372.2447457,1252021797.130569,1222360353.6221788,1064294155.2385486
2022-10-04,1229653411.2298284,1435651257.2781668,1383413663.1765513,1308121869.3100433,1266547776.7364156,1239905603.4804106,1073789390.4954236
2022-10-05,1230420572.5537887,1426839697.815744,1380296978.0014956,1298323261.6841977,1267329605.9922073,1236404306.429607,1074264456.2172966
2022-10-06,1233343540.8175123,1427447593.9737468,1386453556.0769887,1291508768.4908462,1270341612.7137103,1236678755.5205393,1074452465.9973638
2022-10-07,1216260527.5818512,1412562794.5923877,1364292110.0236397,1276087391.991999,1252728798.7503686,1224546332.178065,1066885220.6223599
2022-10-10,1217482255.4321542,1425857412.8191814,1363275736.747176,1287711670.149002,1254004745.8918984,1232729082.1300495,1061967682.4829154
2022-10-11,1193212148.4390674,1408503752.9219234,1341221752.672509,1280743919.3946068,1230476396.5150216,1211099536.9695294,1053579006.365347
2022-10-12,1183683465.3857787,1423638630.4586964,1330551272.9536595,1284969099.937362,1227638800.245807,1208342313.3701825,1049033780.9686064
2022-10-13,1181434697.4296565,1439174016.4350483,1328055655.0529482,1283713631.78857,1232502480.0823634,1201121727.5832105,1044693839.1211581
2022-10-14,1160160319.9001727,1448579681.5363166,1304125017.3042133,1291656667.4720902,1226682591.5816782,1198645383.8303528,1034658520.5646819
2022-10-17,1174180260.4405048,1444586805.1197214,1319884736.1272628,1290674954.1436481,1229313198.2038603,1200942846.8276448,1037176709.9178126
2022-10-18,1151217910.0341032,1434977705.8578765,1323189968.7494245,1276543201.5874054,1246297071.5090532,1188252866.7140503,1037689733.4501723
2022-10-19,1146915395.6557648,1459668694.5029833,1356399054.0550187,1281095740.76114,1232738203.3199284,1184059647.0564802,1041625483.9250156
2022-10-20,1174715822.0105014,1497244070.558051,1371641348.2873168,1308778497.5495546,1252339700.4080954,1216240172.1371458,1059881040.8150254
2022-10-21,1185758418.3782556,1495135048.8077464,1370347104.399723,1317812309.1902344,1251993670.9908812,1213239102.5753887,1065516886.0361223
2022-10-24,1228941835.624404,1539378116.5830612,1382602108.2245812,1359475204.073143,1261865802.7029855,1240182428.840863,1070872421.7231364
2022-10-25,1199625579.2632756,1528798939.5590413,1381008055.474551,1354497921.7522259,1265802086.5597765,1236578873.426494,1070164271.3212433
2022-10-26,1200306164.3607326,1533851063.396515,1376346450.7636182,1347554370.1768727,1264893953.740279,1238614454.6519694,1069490001.2306635
2022-10-27,1204782857.5922818,1556883864.9968398,1386560418.1412022,1374534394.6661696,1276899591.5824203,1262590708.0002995,1076750915.2132237
2022-10-28,1181551083.0976913,1530656810.186371,1351755990.5339017,1366027653.4172645,1268869827.4213848,1249173023.364347,1071327322.3581884
2022-10-31,1173583769.275334,1519030758.6263971,1337021353.7052205,1376790416.481306,1276299710.5590672,1252704346.1313293,1077833305.9028845
2022-11-01,1141126307.3819673,1490729030.981256,1325270972.191637,1353103804.7390695,1261047578.8541036,1230888447.3924441,1070759956.8822998
2022-11-02,1145305856.2223508,1476402289.6052182,1326938604.7641602,1336486597.6060305,1267240239.0916421,1236383319.773883,1065200916.9183596
2022-11-03,1159482231.5750015,1488466931.2817695,1335596553.7687283,1344781820.157981,1275516652.5295458,1252560534.0705526,1068067991.9280344
2022-11-04,1171785167.4492958,1507056534.9846077,1337909134.1921973,1362126841.6827745,1277719603.45611,1266465195.752229,1069731092.6363331
2022-11-07,1176409217.6128721,1514882158.5459795,1343545933.901947,1367548175.6083329,1283092377.0691013,1264526145.421553,1078365604.885882
2022-11-08,1181416202.2323735,1516664373.5256598,1337140323.541945,1361523456.9284196,1276967987.8400495,1254054996.371342,1070429382.9038615
2022-11-09,1179922545.5307047,1514750832.9124882,1345214828.374112,1362773686.9522986,1284691987.4440117,1260976120.549554,1073459632.0168202
2022-11-10,1179774276.7320302,1514558910.5796394,1326645250.3133256,1325813607.843868,1266946401.6083927,1213455485.3066795,1057783501.1038903
2022-11-11,1180360338.4075832,1515312602.3935425,1356213565.95385,1339584071.067258,1295209717.1450171,1258443583.8847826,1076362959.7009637
2022-11-14,1170926307.3157544,1503193472.926118,1335784335.3974466,1321836250.8081849,1275692683.1186643,1239882790.8776937,1065763018.7134972
2022-11-15,1170206940.624351,1488136426.7534304,1336131609.9322224,1315755323.690748,1276028150.6315656,1237183853.0327332,1068208702.7176903
2022-11-16,1167884304.2461133,1504379088.5546422,1347519743.6290286,1312459480.422029,1286913834.3123167,1254915767.8562942,1065002602.1858362
2022-11-17,1167686672.0621762,1500986099.768575,1354380465.6907876,1318363117.6775668,1293463491.40387,1250177497.7790327,1069648949.5620767
2022-11-18,1159497209.7223246,1501303745.5196095,1366593877.046333,1303180921.9555225,1305134996.221918,1249955577.6021798,1075296360.0535562
2022-11-21,1152760851.6357965,1488714607.4875124,1344457562.93697,1299924844.8364706,1283983285.3661864,1227054780.3244088,1072421574.8636262
2022-11-22,1151692654.121248,1499599808.0002642,1328282716.7882094,1310638753.9260533,1268533495.8941712,1221758041.0498865,1067462891.050705
2022-11-23,1158830715.6912398,1512868939.8530126,1318770992.6492822,1316994306.662935,1259446921.5057817,1221764568.5196157,1071036263.0535576
