tanggal,Trade_No_Buffer,Trade_Buffer_8,Trade_Buffer_10,Trade_Buffer_12,IHSG
2023-07-07,1531200260.25419,1559198883.496088,1692050941.3822541,1584693269.5298426,1019768309.0833338
2023-07-10,1524862116.0804608,1557803995.69988,1685046983.89979,1578133700.8956587,1021981872.1800387
2023-07-11,1527458309.4080994,1557813105.0268638,1687433861.2198734,1579437864.4601789,1031985386.2429627
2023-07-12,1521148772.15974,1561021089.4782784,1690908694.2296484,1590694622.4210548,1033698825.5319655
2023-07-13,1525718465.9552577,1565107945.6255765,1695335554.8827438,1587300223.3819447,1034003081.1066482
2023-07-14,1530124266.3112829,1571675021.0206723,1702448978.1204202,1588708760.805376,1043015614.5977436
2023-07-17,1525303357.9562116,1562325598.6446033,1692321738.7324157,1574189472.9782455,1042647008.6724702
2023-07-18,1511285525.4342978,1551055826.238392,1680817341.504082,1562721747.2647245,1037038223.2186148
2023-07-20,1519889721.4943576,1559886417.290907,1683112730.4143896,1562509047.1768208,1042198335.4907012
2023-07-21,1530220979.6386387,1570489513.1633492,1686023002.1258547,1564061303.174283,1044720676.4793539
2023-07-24,1535123284.0532718,1575520807.801265,1692862788.0675209,1575118614.4963036,1047543862.7706534
2023-07-25,1538691641.4316685,1572372190.9921694,1681342801.6090941,1557179983.5580025,1050324643.0705497
2023-07-26,1555104053.871668,1587823519.78304,1694025254.7969732,1576385807.5536537,1054965800.9023877
2023-07-27,1542405530.5393305,1575257133.8804986,1683301539.1262062,1562373665.042622,1047128921.6275005
2023-07-28,1546988135.7230704,1575299200.286238,1675758962.2689295,1559565306.9356167,1047670487.654074
2023-07-31,1538665581.6057832,1570487537.45339,1677442317.3101668,1549394926.626934,1052396828.1504613
2023-08-01,1521126274.9338686,1556784661.7778962,1670658250.695459,1532009765.5636034,1045585254.5768076
2023-08-02,1523221380.204032,1555266125.8385048,1670531138.9228163,1534127575.4618928,1040728730.6522665
2023-08-03,1522506819.3827722,1555705086.16823,1671119043.4378786,1533411859.6800947,1047343620.4930661
2023-08-04,1527451390.9710782,1563517391.1106744,1672738405.4091392,1538381253.3119917,1040475480.8854253
2023-08-07,1532536756.5258713,1568411401.7726355,1684378427.825698,1543509549.7290206,1045565534.3080782
2023-08-08,1503239310.013536,1554240210.311804,1671728159.1064308,1535114307.6126914,1042900406.7120086
2023-08-09,1515928870.5378592,1559324929.9118257,1680318476.7721667,1546860783.963664,1043856765.6090376
2023-08-10,1514248369.1682265,1557356493.4207566,1676799149.5527816,1547949894.3073974,1046614637.7772144
2023-08-11,1506509350.5088575,1546168554.7426476,1673203261.3887215,1536938102.299347,1044595756.7319512
2023-08-14,1513017476.5995615,1556349800.2465782,1676688313.2637627,1543759753.6511652,1049179977.8480592
2023-08-15,1511147130.2477906,1548827070.5719087,1673571755.46362,1549821834.7621205,1049928384.2872459
2023-08-16,1510428158.7862449,1548081217.6022687,1672766199.063403,1547344215.8946126,1047717267.6900449
2023-08-18,1501993727.32372,1539436852.0906086,1663425704.944253,1542925431.4721212,1041548975.2132533
