tanggal,Trading_Port,Investing_Port,Hybrid_Port,IHSG
2022-04-05,1121143755.0679276,1208171291.1740804,1162381963.3171704,1085335088.8820684
2022-04-06,1111418352.6761858,1197870950.8752449,1146003008.039365,1078641911.0571399
2022-04-07,1107856087.0904176,1193961191.9204795,1142823593.7095084,1082157011.8899877
2022-04-08,1127604534.1982517,1215483128.6282668,1154863458.9463592,1094830027.593549
2022-04-11,1112457832.589007,1199208244.4318469,1127954913.5508385,1093760981.4466374
2022-04-12,1102040443.428812,1204942067.544722,1131747008.777389,1095429123.4266415
2022-04-13,1115964401.0657907,1213581435.2948658,1130341120.1990366,1102716429.9493058
2022-04-14,1114654683.2534194,1207920887.9941175,1122233181.4022698,1098579844.1060863
2022-04-18,1137057527.9874551,1214234892.541077,1143206534.6761043,1104616173.8823576
2022-04-19,1099124440.6860523,1201485497.2761176,1136513433.1824937,1093068325.541603
2022-04-20,1111142409.3179176,1223344224.1276844,1160883362.76749,1097339320.584847
2022-04-21,1129578183.6736968,1239820376.774767,1174787303.6259515,1104753400.263629
2022-04-22,1131047574.0260932,1243002089.5567613,1174170949.5841649,1097072726.2752564
2022-04-25,1149392479.955016,1262383759.4553845,1192931558.4867237,1095611054.0261228
2022-04-26,1160022638.964949,1297091948.3020532,1209922765.7219741,1098066746.437378
2022-04-27,1136914837.6806235,1288560619.2822409,1204434019.0855942,1092693640.4357438
2022-04-28,1136240987.1160793,1313986834.0487473,1222609653.4373906,1097575000.0370684
2022-05-09,1096208725.8055725,1272808712.18355,1192372242.9115396,1049116072.31556
2022-05-10,1101378904.4261975,1300303958.7327778,1198730623.163757,1035457784.5390129
2022-05-11,1112699620.1223853,1313696423.78269,1211078630.6412768,1034912585.8313577
2022-05-12,1063244660.6580515,1255322975.4620845,1157260858.8809495,1002061880.1274554
2022-05-13,1068025004.832923,1260990487.2531319,1162486264.9784446,1001781496.457024
2022-05-17,1076651840.6828551,1271167270.328691,1171868872.587673,1008837645.8447319
2022-05-18,1147009520.8520706,1354168812.1896174,1248391091.043739,1031452494.1691762
2022-05-19,1158656960.245197,1367871045.8565285,1261022793.802855,1035995421.3391101
2022-05-20,1194162895.389265,1409758987.6886008,1299640520.9694812,1050390402.011764
2022-05-23,1173471492.05621,1385339241.2853959,1277127075.5917127,1038643349.302303
2022-05-24,1190678650.927511,1399840870.5869052,1290496466.3552566,1049782632.2258847
2022-05-25,1185219279.5763001,1393925709.2355583,1285042996.7645957,1045130947.0325445
2022-05-27,1209100668.8818533,1420823769.6588867,1309841734.1613119,1066805153.3658645
2022-05-30,1206164408.3240848,1416520200.985309,1305873965.968134,1068522225.335949
2022-05-31,1210428018.9219162,1420120740.044789,1309194006.1385684,1085437026.361403
2022-06-02,1229026802.224144,1449334996.8030272,1336126612.2020159,1085399513.3690078
2022-06-03,1235704817.6058598,1455408140.1313214,1357363653.835713,1090597879.9969754
2022-06-06,1211274474.0040877,1427861354.778677,1362454655.9677272,1077482863.3830197
2022-06-07,1231604432.023332,1450304469.3902514,1377792658.534852,1084233719.2871642
2022-06-08,1263429966.6942098,1482710464.9023597,1412275240.6140223,1092169792.9964876
2022-06-09,1242307424.4365559,1470247405.825912,1385783760.780159,1090578011.4555488
2022-06-10,1203873432.6065955,1438941924.7133026,1339935412.046665,1075974559.3706121
2022-06-13,1188496069.2459424,1439343468.4301128,1299144320.1590102,1062126630.8143286
2022-06-14,1208731052.5364351,1453260706.4254909,1331101498.3113644,1070392314.7295581
2022-06-15,1184124246.6826358,1446495421.1919951,1311487220.3749704,1063889074.2297605
2022-06-16,1201507035.3040445,1451054291.457766,1332781456.0486045,1070459778.8067904
2022-06-17,1177398149.4189343,1418624529.2298162,1308017128.2801986,1053248284.1142116
2022-06-20,1192398064.2494678,1447079907.33321,1342133897.2519512,1059231977.082972
2022-06-21,1211185161.124837,1463777714.084392,1364551779.4821482,1069510018.0447873
2022-06-22,1180910282.5603232,1438344579.12609,1332117524.7423978,1060436618.6114856
2022-06-23,1185915560.0335472,1446561430.8350878,1327231982.6016226,1062555583.7273681
2022-06-24,1181587898.822955,1453918326.4542418,1332135024.650515,1069337873.4433221
2022-06-27,1173491280.74497,1446012992.0339694,1323396879.2534103,1065256370.9071176
2022-06-28,1175720923.836777,1449560571.4641886,1334861082.116499,1062280612.0103852
2022-06-29,1159995515.3513315,1430508731.877343,1312682175.4308038,1054065785.6302999
2022-06-30,1149288872.5934267,1416656254.180328,1289110557.1036015,1049394083.6228359
2022-07-01,1137857398.4158165,1401185741.8885374,1262479470.2482655,1031591277.4137684
2022-07-04,1104345671.6784384,1360926501.820121,1242956572.547287,1008033711.2804387
2022-07-05,1136106934.3606467,1359683757.9097135,1262900751.8961048,1017765219.0803238
2022-07-06,1116967326.1714954,1341261749.3961687,1242238886.0866044,1009132708.5121874
2022-07-07,1115067297.0985634,1349752002.5374165,1240434246.459157,1010070533.3220648
2022-07-08,1118064449.8381243,1354964737.1324725,1243301455.3377442,1023375857.9428943
2022-07-11,1110806723.6098933,1339408819.6068869,1235123318.2431107,1020631626.8628612
2022-07-12,1103925696.6299014,1340599355.9325082,1238789507.4687016,1020046913.4813986
2022-07-13,1076367038.9235706,1310772744.8195682,1227964353.69059,1008309795.0426507
2022-07-14,1091239947.62601,1331098488.0609753,1254837637.9398901,1015764204.895075
2022-07-15,1070974520.5559626,1310785751.2119699,1237396058.7350736,1009966964.8430609
2022-07-18,1072110160.2850797,1314483843.9916553,1253741097.8486826,1011082642.7532462
2022-07-19,1073137148.6843789,1319007004.4231856,1257443280.5362165,1022749183.3881202
2022-07-20,1099143003.8470738,1354206886.5765412,1295056620.5531828,1043800792.6658394
2022-07-21,1090218830.7396567,1347702438.6896238,1292892050.5282478,1042189513.265217
2022-07-22,1090259914.9805677,1345483125.6558313,1286264021.878444,1045655980.6533786
2022-07-25,1084750522.0896373,1330859712.668253,1282836706.2107315,1041320486.9868468
2022-07-26,1074212581.9826648,1328781325.619466,1286480386.2480443,1043314013.4008864
2022-07-27,1070007754.0157046,1322282189.0942073,1283785536.0036998,1047364675.2160705
