tanggal,Investing_Optimal,Investing_Growth,Hybrid_Optimal,Hybrid_Growth,Trading_Optimal,Trading_Growth,IHSG
2023-05-25,1344641817.0615628,1344641817.0615628,1089984940.8013406,1089984940.8013406,1543599689.5188267,1543599689.5188267,1017911712.5051711
2023-05-26,1334922127.4244213,1334922127.4244213,1079638957.4244552,1079638957.4244552,1540526527.8564577,1540526527.8564577,1015295663.1718793
2023-05-29,1336885094.224826,1336885094.224826,1081404603.190813,1081404603.190813,1542009920.2359571,1542009920.2359571,1014400021.9443593
2023-05-30,1326856037.099484,1326856037.099484,1081126870.5625362,1081126870.5625362,1563305088.4772027,1563305088.4772027,1007616323.6377817
2023-05-31,1303374219.4865704,1303374219.4865704,1063969804.2265267,1063969804.2265267,1537932669.8812504,1537932669.8812504,1007136290.780552
2023-06-05,1337824313.3212147,1337824313.3212147,1097728764.223836,1097728764.223836,1556162357.3115544,1556162357.3115544,1007162979.8660505
2023-06-06,1353805679.2041054,1353805679.2041054,1084028297.487153,1084028297.487153,1541690172.329484,1541690172.329484,1004959276.9037104
2023-06-07,1346001942.6416655,1346001942.6416655,1080466478.6991768,1080466478.6991768,1538409972.65365,1538409972.65365,1005085605.2417365
2023-06-08,1355640528.5277176,1355640528.5277176,1088856330.8817956,1088856330.8817956,1562261646.3895428,1562261646.3895428,1012157174.9899546
2023-06-09,1356335406.856932,1356335406.856932,1084315097.1101012,1084315097.1101012,1571785567.704812,1571785567.704812,1016361966.2738924
2023-06-12,1366404193.2824137,1366404193.2824137,1094845494.646612,1094845494.646612,1575484222.127749,1575484222.127749,1020666248.5376606
2023-06-13,1357596624.9842582,1357596624.9842582,1091771694.5279703,1091771694.5279703,1574111246.0286243,1574111246.0286243,1020156264.5955937
2023-06-14,1364092242.351581,1364092242.351581,1095061675.1024282,1095061675.1024282,1588081959.7702572,1588081959.7702572,1017226321.9623003
2023-06-15,1376676363.7737675,1376676363.7737675,1097698026.3139186,1097698026.3139186,1603447775.089482,1603447775.089482,1019363821.1653346
2023-06-16,1373168407.492483,1373168407.492483,1091860764.8010385,1091860764.8010385,1613962194.2057586,1613962194.2057586,1017048691.2710382
2023-06-19,1367564266.8175206,1367564266.8175206,1094383989.3594122,1094383989.3594122,1613273705.9461102,1613273705.9461102,1015152654.1554166
2023-06-20,1366238875.1144643,1366238875.1144643,1094287428.0778883,1094287428.0778883,1608518735.0659604,1608518735.0659604,1011265166.4435164
2023-06-21,1371989881.367564,1371989881.367564,1099322462.5332046,1099322462.5332046,1627167797.7096765,1627167797.7096765,1017667878.054603
2023-06-22,1363970943.7589824,1363970943.7589824,1090824418.6207173,1090824418.6207173,1599971751.5223706,1599971751.5223706,1010021084.3775439
2023-06-23,1359105101.2163033,1359105101.2163033,1086245971.3652306,1086245971.3652306,1597360855.4327087,1597360855.4327087,1008118893.944988
2023-06-26,1361716710.325695,1361716710.325695,1090242000.561279,1090242000.561279,1672315033.81459,1672315033.81459,1011904814.8592967
2023-06-27,1367787702.790306,1367787702.790306,1089011116.6574512,1089011116.6574512,1677893185.733721,1677893185.733721,1011481348.0360541
2023-07-03,1387556194.2009783,1387556194.2009783,1091249929.9223294,1091249929.9223294,1692985078.0225945,1692985078.0225945,1016770679.9637623
2023-07-04,1369429249.2431173,1369429249.2431173,1083996430.8580441,1083996430.8580441,1694327773.7083406,1694327773.7083406,1014498993.9697495
2023-07-05,1386823551.6596541,1386823551.6596541,1089698034.799273,1089698034.799273,1688777424.191386,1688777424.191386,1020150630.2330996
2023-07-06,1392967872.0782785,1392967872.0782785,1090767214.252397,1090767214.252397,1680093773.3469741,1680093773.3469741,1025973966.2798233
2023-07-07,1379511957.0703845,1379511957.0703845,1087976812.0510366,1087976812.0510366,1692050941.3822541,1692050941.3822541,1019768309.0833338
2023-07-10,1386996845.7702942,1386996845.7702942,1091054389.3355126,1091054389.3355126,1685046983.89979,1685046983.89979,1021981872.1800387
2023-07-11,1396908259.7867212,1396908259.7867212,1101832595.7824092,1101832595.7824092,1687433861.2198734,1687433861.2198734,1031985386.2429627
2023-07-12,1384311041.1013246,1384311041.1013246,1099956188.3398688,1099956188.3398688,1690908694.2296484,1690908694.2296484,1033698825.5319655
2023-07-13,1376965300.7836342,1376965300.7836342,1099870030.2796674,1099870030.2796674,1695335554.8827438,1695335554.8827438,1034003081.1066482
2023-07-14,1384184249.6730535,1384184249.6730535,1103217729.676803,1103217729.676803,1702448978.1204202,1702448978.1204202,1043015614.5977436
2023-07-17,1385573110.4289567,1385573110.4289567,1100009151.6073892,1100009151.6073892,1692321738.7324157,1692321738.7324157,1042647008.6724702
2023-07-18,1374187339.8870924,1374187339.8870924,1097659065.303175,1097659065.303175,1680817341.504082,1680817341.504082,1037038223.2186148
2023-07-20,1378464250.1194513,1378464250.1194513,1091952335.4109612,1091952335.4109612,1683112730.4143896,1683112730.4143896,1042198335.4907012
2023-07-21,1383617445.9306743,1383617445.9306743,1091724166.406134,1091724166.406134,1686023002.1258547,1686023002.1258547,1044720676.4793539
2023-07-24,1405758456.7244473,1405758456.7244473,1105054290.0171106,1105054290.0171106,1692862788.0675209,1692862788.0675209,1047543862.7706534
2023-07-25,1400030991.2130759,1400030991.2130759,1098599445.616979,1098599445.616979,1681342801.6090941,1681342801.6090941,1050324643.0705497
2023-07-26,1425529008.1838548,1425529008.1838548,1111249173.1564384,1111249173.1564384,1694025254.7969732,1694025254.7969732,1054965800.9023877
2023-07-27,1404033381.0240705,1404033381.0240705,1098908972.814453,1098908972.814453,1683301539.1262062,1683301539.1262062,1047128921.6275005
2023-07-28,1416215011.1630843,1416215011.1630843,1107187049.1119578,1107187049.1119578,1675758962.2689295,1675758962.2689295,1047670487.654074
2023-07-31,1425870489.4410388,1425870489.4410388,1120674925.661098,1120674925.661098,1677442317.3101668,1677442317.3101668,1052396828.1504613
2023-08-01,1428994811.8713684,1428994811.8713684,1122707896.4204946,1122707896.4204946,1670658250.695459,1670658250.695459,1045585254.5768076
2023-08-02,1407098896.9702337,1407098896.9702337,1117318903.7519343,1117318903.7519343,1670531138.9228163,1670531138.9228163,1040728730.6522665
2023-08-03,1409264757.2668695,1409264757.2668695,1120239694.258118,1120239694.258118,1671119043.4378786,1671119043.4378786,1047343620.4930661
2023-08-04,1420294349.613383,1420294349.613383,1117242028.077223,1117242028.077223,1672738405.4091392,1672738405.4091392,1040475480.8854253
2023-08-07,1423887583.072034,1423887583.072034,1118434699.7225196,1118434699.7225196,1684378427.825698,1684378427.825698,1045565534.3080782
2023-08-08,1418433566.4331594,1418433566.4331594,1115677436.187941,1115677436.187941,1671728159.1064308,1671728159.1064308,1042900406.7120086
2023-08-09,1426366244.0500646,1426366244.0500646,1131654428.9150453,1131654428.9150453,1680318476.7721667,1680318476.7721667,1043856765.6090376
2023-08-10,1419001650.6089516,1419001650.6089516,1121607858.1610353,1121607858.1610353,1676799149.5527816,1676799149.5527816,1046614637.7772144
2023-08-11,1404693282.0814252,1404693282.0814252,1116055478.7474194,1116055478.7474194,1673203261.3887215,1673203261.3887215,1044595756.7319512
2023-08-14,1417556853.4441228,1417556853.4441228,1127885947.077858,1127885947.077858,1676688313.2637627,1676688313.2637627,1049179977.8480592
2023-08-15,1427470414.8421166,1427470414.8421166,1136368622.400299,1136368622.400299,1673571755.46362,1673571755.46362,1049928384.2872459
2023-08-16,1424658631.1068363,1424658631.1068363,1141560410.1018715,1141560410.1018715,1672766199.063403,1672766199.063403,1047717267.6900449
2023-08-18,1411105762.3517761,1411105762.3517761,1125947042.7013218,1125947042.7013218,1663425704.944253,1663425704.944253,1041548975.2132533
2023-08-21,1422358417.9223647,1422358417.9223647,1139450492.5206852,1139450492.5206852,1652661758.3365638,1652661758.3365638,1042478348.4793894
2023-08-22,1459145387.2398205,1459145387.2398205,1150108619.3912299,1150108619.3912299,1689206896.7516549,1689206896.7516549,1050133223.0184467
2023-08-23,1466485609.655702,1466485609.655702,1153962297.436016,1153962297.436016,1697498796.9724553,1697498796.9724553,1050886300.0475956
2023-08-24,1446206301.0038123,1446206301.0038123,1133530799.436751,1133530799.436751,1668427759.4692233,1668427759.4692233,1047543269.6798645
2023-08-25,1424183572.1966329,1424183572.1966329,1121858397.7948363,1121858397.7948363,1657464035.0598307,1657464035.0598307,1046943654.8923318
2023-08-28,1444274670.4166937,1444274670.4166937,1128773355.4338305,1128773355.4338305,1663911215.472291,1663911215.472291,1050934414.5378416
2023-08-29,1441695520.1881928,1441695520.1881928,1131209192.492991,1131209192.492991,1665079795.0786881,1665079795.0786881,1056416723.3809735
2023-08-30,1437753012.3905153,1437753012.3905153,1130926023.6682887,1130926023.6682887,1647766377.322625,1647766377.322625,1057755996.5185572
2023-08-31,1427994432.4886715,1427994432.4886715,1127247330.7669635,1127247330.7669635,1639496755.8082747,1639496755.8082747,1055722065.7945268
2023-09-01,1434009632.8972247,1434009632.8972247,1133860031.5846765,1133860031.5846765,1638894805.2335572,1638894805.2335572,1059425843.6345791
2023-09-04,1447368299.9854572,1447368299.9854572,1141314504.8966792,1141314504.8966792,1650390425.5816152,1650390425.5816152,1062325242.0922464
2023-09-05,1452457569.8328505,1452457569.8328505,1144578123.1091928,1144578123.1091928,1666008887.7147057,1666008887.7147057,1061559710.1565316
2023-09-06,1468755760.8836026,1468755760.8836026,1157639241.6786087,1157639241.6786087,1667212604.049359,1667212604.049359,1062204251.57132
